auction_id,market_number,market_description,market_population,bidding_units,small_market_indicator
102,PEA321,"Batesville, IN",118693,120, Y 
102,PEA322,"Minot, ND",116439,120, Y 
102,PEA323,"Socorro, NM",114543,110, Y 
102,PEA324,"Honesdale, PA",110191,110, Y 
102,PEA325,"Bismarck, ND",108779,110, Y 
102,PEA326,"Fergus Falls, MN",108648,110, Y 
102,PEA327,"Orangeburg, SC",107676,110, Y 
102,PEA328,"Winslow, AZ",107449,110, Y 
102,PEA329,"Kingsville, TX",104558,100, Y 
102,PEA330,"Olney, IL",102976,100, Y 
102,PEA331,"Plainview, TX",102732,100, Y 
102,PEA332,"Bennettsville, SC",102615,100, Y 
102,PEA333,"Sidney, OH",102382,100, Y 
102,PEA334,"Pampa, TX",100685,100, Y 
102,PEA335,"Natchitoches, LA",99546,100, Y 
102,PEA336,"Grand Forks, ND",98461,98, Y 
102,PEA337,"Mineral Wells, TX",95311,95, Y 
102,PEA338,"Durango, CO",91716,92, Y 
102,PEA339,"Scottsbluff, NE",91571,92, Y 
102,PEA340,"Clovis, NM",84529,85, Y 
102,PEA341,"Alamogordo, NM",84294,84, Y 
102,PEA342,"Mitchell, SD",83465,83, Y 
102,PEA343,"Pecos, TX",82332,82, Y 
102,PEA344,"Clanton, AL",82318,82, Y 
102,PEA345,"Newberry, SC",81339,81, Y 
102,PEA346,"Franklin, NC",80814,81, Y 
102,PEA347,"New Roads, LA",79775,80, Y 
102,PEA348,"Aberdeen, SD",79541,80, Y 
102,PEA349,"Marion, NC",78393,78, Y 
102,PEA350,"Forrest City, AR",78309,78, Y 
102,PEA351,"Dickinson, ND",78183,78, Y 
102,PEA352,"Gonzales, TX",77549,78, Y 
102,PEA353,"Watseka, IL",77440,77, Y 
102,PEA354,"New London, WI",76906,77, Y 
102,PEA355,"Casper, WY",75450,75, Y 
102,PEA356,"Colville, WA",74653,75, Y 
102,PEA357,"Espanola, NM",73183,73, Y 
102,PEA358,"Marble Falls, TX",72548,73, Y 
102,PEA359,"Sterling, CO",72175,72, Y 
102,PEA360,"Juneau, AK",71664,72, Y 
102,PEA361,"Richfield, UT",71373,71, Y 
102,PEA362,"Payette, ID",70406,70, Y 
102,PEA363,"Big Spring, TX",70297,70, Y 
102,PEA364,"Butte, MT",69762,70, Y 
102,PEA365,"Vernon, TX",69603,70, Y 
102,PEA366,"Pullman, WA",68665,69, Y 
102,PEA367,"Moberly, MO",66156,66, Y 
102,PEA368,"Concordia, KS",65577,66, Y 
102,PEA369,"Red Oak, IA",65203,65, Y 
102,PEA370,"Washington, IA",64135,64, Y 
102,PEA371,"Wytheville, VA",62965,63, Y 
102,PEA372,"Colby, KS",62951,63, Y 
102,PEA373,"Walla Walla, WA",62859,63, Y 
102,PEA374,"North Platte, NE",61592,62, Y 
102,PEA375,"Deming, NM",59503,60, Y 
102,PEA376,"Hereford, TX",59127,59, Y 
102,PEA377,"Demopolis, AL",57694,58, Y 
102,PEA378,"Waynesboro, GA",57502,58, Y 
102,PEA379,"Sault Ste. Marie, MI",56264,56, Y 
102,PEA380,"Escanaba, MI",55155,55, Y 
102,PEA381,"Del Rio, TX",54479,54, Y 
102,PEA382,"Riverton, WY",53468,53, Y 
102,PEA383,"Creston, IA",50709,51, Y 
102,PEA384,"Manchester, IA",50223,50, Y 
102,PEA385,"Hannibal, MO",49159,49, Y 
102,PEA386,"Barnwell, SC",49027,49, Y 
102,PEA387,"Wahpeton, ND",48521,49, Y 
102,PEA388,"Atlantic, IA",47170,47, Y 
102,PEA389,"McCook, NE",47014,47, Y 
102,PEA390,"Snyder, TX",45514,46, Y 
102,PEA391,"Ontario, OR",38735,39, Y 
102,PEA392,"Maryville, MO",37191,37, Y 
102,PEA393,"Macon, MO",36158,36, Y 
102,PEA394,"Martin, SD",34651,35, Y 
102,PEA395,"Jamestown, ND",34328,34, Y 
102,PEA396,"Winterset, IA",34315,34, Y 
102,PEA397,"Aliceville, AL",34310,34, Y 
102,PEA398,"South Sioux City, NE",33946,34, Y 
102,PEA399,"Lampasas, TX",25808,26, Y 
102,PEA400,"Muleshoe, TX",25496,25, Y 
102,PEA401,"Floydada, TX",25065,25, Y 
102,PEA402,"Brady, TX",23231,23, Y 
102,PEA403,"Lewistown, MT",21970,22, Y 
102,PEA404,"Kanab, UT",21871,22, Y 
102,PEA405,"Jackson, WY",21294,21, Y 
102,PEA406,"Anamosa, IA",20638,21, Y 
102,PEA407,"Salmon, ID",15195,15, Y 
102,PEA408,"Ballinger, TX",14964,15, Y 
102,PEA409,"Haskell, TX",14772,15, Y 
102,PEA410,"Valentine, NE",11796,12, Y 
102,PEA411,"Van Horn, TX",5874,10, Y 
102,PEA412,Puerto Rico,3725789,3700, N 
102,PEA413,Guam-Northern Mariana Islands,213241,210, Y 
102,PEA414,US Virgin Islands,106405,110, Y 
102,PEA415,American Samoa,55519,56, Y 
102,PEA416,Gulf of Mexico,0,10, Y
